Column_Index,Variable_Name,Type,Unit
0,A_Feed_stream1,Measured (XMEAS),kscmh
1,D_Feed_stream2,Measured (XMEAS),kg/hr
2,E_Feed_stream3,Measured (XMEAS),kg/hr
3,AC_Feed_stream4,Measured (XMEAS),kscmh
4,Recycle_Flow_stream8,Measured (XMEAS),kscmh
5,Reactor_Feed_Rate_stream6,Measured (XMEAS),kscmh
6,Reactor_Pressure,Measured (XMEAS),kPa_gauge
7,Reactor_Level,Measured (XMEAS),%
8,Reactor_Temperature,Measured (XMEAS),Deg_C
9,Purge_Rate_stream9,Measured (XMEAS),kscmh
10,Product_Sep_Temp,Measured (XMEAS),Deg_C
11,Product_Sep_Level,Measured (XMEAS),%
12,Prod_Sep_Pressure,Measured (XMEAS),kPa_gauge
13,Prod_Sep_Underflow_stream10,Measured (XMEAS),m3/hr
14,Stripper_Level,Measured (XMEAS),%
15,Stripper_Pressure,Measured (XMEAS),kPa_gauge
16,Stripper_Underflow_stream11,Measured (XMEAS),m3/hr
17,Stripper_Temperature,Measured (XMEAS),Deg_C
18,Stripper_Steam_Flow,Measured (XMEAS),kg/hr
19,Compressor_Work,Measured (XMEAS),kW
20,Reactor_CW_Outlet_Temp,Measured (XMEAS),Deg_C
21,Separator_CW_Outlet_Temp,Measured (XMEAS),Deg_C
22,Reactor_Feed_CompA,Measured (XMEAS),Mole_%
23,Reactor_Feed_CompB,Measured (XMEAS),Mole_%
24,Reactor_Feed_CompC,Measured (XMEAS),Mole_%
25,Reactor_Feed_CompD,Measured (XMEAS),Mole_%
26,Reactor_Feed_CompE,Measured (XMEAS),Mole_%
27,Reactor_Feed_CompF,Measured (XMEAS),Mole_%
28,Purge_Gas_CompA,Measured (XMEAS),Mole_%
29,Purge_Gas_CompB,Measured (XMEAS),Mole_%
30,Purge_Gas_CompC,Measured (XMEAS),Mole_%
31,Purge_Gas_CompD,Measured (XMEAS),Mole_%
32,Purge_Gas_CompE,Measured (XMEAS),Mole_%
33,Purge_Gas_CompF,Measured (XMEAS),Mole_%
34,Purge_Gas_CompG,Measured (XMEAS),Mole_%
35,Purge_Gas_CompH,Measured (XMEAS),Mole_%
36,Product_CompD,Measured (XMEAS),Mole_%
37,Product_CompE,Measured (XMEAS),Mole_%
38,Product_CompF,Measured (XMEAS),Mole_%
39,Product_CompG,Measured (XMEAS),Mole_%
40,Product_CompH,Measured (XMEAS),Mole_%
41,D_Feed_Flow,Manipulated (XMV),%
42,E_Feed_Flow,Manipulated (XMV),%
43,A_Feed_Flow,Manipulated (XMV),%
44,AC_Feed_Flow,Manipulated (XMV),%
45,Compressor_Recycle_Valve,Manipulated (XMV),%
46,Purge_Valve,Manipulated (XMV),%
47,Separator_Pot_Liquid_Flow,Manipulated (XMV),%
48,Stripper_Product_Flow,Manipulated (XMV),%
49,Stripper_Steam_Valve,Manipulated (XMV),%
50,Reactor_CW_Flow,Manipulated (XMV),%
51,Condenser_CW_Flow,Manipulated (XMV),%
